127.0.0.1, 2016-04-13 14:37:31, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000791
127.0.0.1, 2016-04-13 14:37:31, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001670
127.0.0.1, 2016-04-13 14:37:31, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001413
127.0.0.1, 2016-04-13 14:37:31, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001406
127.0.0.1, 2016-04-13 14:37:31, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000867
127.0.0.1, 2016-04-13 14:37:31, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.001017
127.0.0.1, 2016-04-13 14:37:31, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000459
127.0.0.1, 2016-04-13 14:37:31, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000370
127.0.0.1, 2016-04-13 14:37:31, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.000789
127.0.0.1, 2016-04-13 14:37:31, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000614
127.0.0.1, 2016-04-13 14:37:31, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.000988
127.0.0.1, 2016-04-13 14:37:31, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.000650
127.0.0.1, 2016-04-13 14:37:32, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000479
127.0.0.1, 2016-04-13 14:37:32, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.001385
127.0.0.1, 2016-04-13 14:37:32, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001319
127.0.0.1, 2016-04-13 14:37:33, GET, /admin/default/index, HTTP/1.1, 303, 0.176320
127.0.0.1, 2016-04-13 14:37:34, GET, /admin/default/site, HTTP/1.1, 200, 0.088299
127.0.0.1, 2016-04-13 14:37:34, GET, /admin/static/_2.14.4/js/jquery.js, HTTP/1.1, 200, 0.001609
127.0.0.1, 2016-04-13 14:37:34, GET, /admin/static/_2.14.4/js/web2py.js, HTTP/1.1, 200, 0.000909
127.0.0.1, 2016-04-13 14:37:34, GET, /admin/static/_2.14.4/css/calendar.css, HTTP/1.1, 200, 0.001909
127.0.0.1, 2016-04-13 14:37:34, GET, /admin/static/_2.14.4/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000930
127.0.0.1, 2016-04-13 14:37:34, GET, /admin/static/_2.14.4/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000525
127.0.0.1, 2016-04-13 14:37:34, GET, /admin/static/_2.14.4/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000345
127.0.0.1, 2016-04-13 14:37:34, GET, /admin/static/_2.14.4/js/calendar.js, HTTP/1.1, 200, 0.001606
127.0.0.1, 2016-04-13 14:37:34, GET, /admin/static/_2.14.4/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000500
127.0.0.1, 2016-04-13 14:37:34, GET, /admin/static/_2.14.4/css/bootstrap.min.css, HTTP/1.1, 200, 0.000761
127.0.0.1, 2016-04-13 14:37:34, GET, /admin/static/_2.14.4/plugin_multiselect/start.js, HTTP/1.1, 200, 0.010596
127.0.0.1, 2016-04-13 14:37:34, GET, /admin/static/_2.14.4/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.010489
127.0.0.1, 2016-04-13 14:37:34, GET, /admin/static/_2.14.4/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.011438
127.0.0.1, 2016-04-13 14:37:34, GET, /admin/static/_2.14.4/js/bootstrap.min.js, HTTP/1.1, 200, 0.000420
127.0.0.1, 2016-04-13 14:37:34, GET, /admin/static/_2.14.4/images/questions.png, HTTP/1.1, 200, 0.000386
127.0.0.1, 2016-04-13 14:37:34, GET, /admin/static/_2.14.4/images/folder_locked.png, HTTP/1.1, 200, 0.000746
127.0.0.1, 2016-04-13 14:37:34, GET, /admin/static/_2.14.4/images/folder.png, HTTP/1.1, 200, 0.000538
127.0.0.1, 2016-04-13 14:37:34, GET, /admin/static/_2.14.4/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000386
127.0.0.1, 2016-04-13 14:37:35, GET, /favicon.ico, HTTP/1.1, 400, 0.000358
127.0.0.1, 2016-04-13 14:37:39, GET, /Visualizr/default/index, HTTP/1.1, 200, 0.140740
127.0.0.1, 2016-04-13 14:37:39, GET, /Visualizr/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000967
127.0.0.1, 2016-04-13 14:37:39, GET, /Visualizr/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000475
